id,name,details,description,price,gluten,milk,lactose,nuts,meat,animal,fish,seafood,soy,egg
1,"Pappilan Kantarellikeitto","(L, G tilauksesta)","Juustoportin Pappilan juustolla ryyditetty, kermainen kantarellikeitto. Lisänä Maalahden limppua ja kirnuvoita.","15,90 €",1,1,1,0,0,1,0,0,0,0
2,"Juustoportin Kermainen Lohikeitto","(L, tilauksesta G)","Juustoportin kirnuvoihin ja kermaan tehty herkullinen lohikeitto. Lisänä Maalahden limppua ja kirnuvoita.","17,90 €",0,1,1,0,0,1,1,0,0,0
3,"Talon Salaatti","(L, G)","Salaatin voit valita joko broilerilla, Hallajuustolla tai kasvispihvillä. Raikasta salaattia, sitruunavinaigrette-kastikkeessa, hölskykurkkuja ja miniluumutomaattia, granaattiomenan siemeniä, pensasmustikkaa, paahdettuja siemeniä ja balsamicoa.","15,90 €",1,1,0,0,0,1,0,0,0,0
4,"Kalastajan Lohisalaatti","(M, L, G)","Raikasta salaattia, sitruunavinaigrette-kastikkeessa, paistettua lohta, hölskykurkkuja ja miniluumutomaattia, granaattiomenan siemeniä, pensasmustikkaa, paahdettuja siemeniä ja balsamicoa.","17,90 €",1,1,0,0,0,1,1,0,0,0
5,Kasvisgalleria,"(VEG, G)","Herne-punajuuripihvit, maalaislohkoperunoita, paahdettuja uunijuureksia ja vihreää parsaa. Lehtikaalia, paprikaa, kesäkurpitsaa, maissia, marinoitua punasipulia ja Juustoportin kevi-viikunadippiä.","18,90 €",1,1,0,0,0,0,0,0,0,0
6,"Vegeburger bataattiranskalaisilla",(VEG),"Herne-punajuuripihvit, salaattia, tomaattia, marinoitua punasipulia, paholaisenhilloa, bataattiranskanperunoita ja Juustoportin kevi-viikunadippiä.","17,90 €",0,0,1,0,0,0,0,0,0,0
7,Chili-broileripasta,(L),"Pennepastaa kermaisessa chilikastikkeessa, broilerinrintaa, Grand Reserve juustoraastetta, marinoitua punasipulia ja sitruunaöljyä.","17,90 €",1,1,0,0,1,1,0,0,0,0
8,"Metsästäjän Sienipasta ja ilmakuivattua kinkkua",(L),"Pennepastaa kermaisessa kantarellikastikkeessa, ilmakuivattua kinkkua, punasipulia ja Grand Reserve juustoraastetta.","17,90 €",1,1,0,0,1,1,0,0,0,0
9,"Paistettua Lohta, kantarellikastiketta","(L, G)","Paistettua lohta, maalaislohkoperunoita sekä uunijuureksia, vihreää parsaa, limeä, tilliä ja kantarellikastiketta.","24,90 €",1,1,0,0,0,1,1,0,0,0
10,"Juustoportin Kirnuvoissa paistettuja muikkuja",(L),"Ruispaneroituja muikkuja, perunamuusia, hölskykurkkuja sekä valkosipulijogurttikastiketta.","19,90 €",1,1,0,0,0,1,1,0,0,0
11,Vuohenjuustobroileria,"(L, G)","Maissipaneroitua broilerin rintafileetä, keittiömestarin kastiketta, maalaislohkoperunoita, uunijuureksia ja vihreää parsaa, Chevre-juustoa ja lakkahilloa.","18,90 €",1,1,0,0,1,1,0,0,0,0
12,"Bearnaise Broileria","(L, G)","Maissipaneroitua broilerin rintafileetä, lime-bearnaisekastiketta ja tikkuperunoita, paprikaa, kesäkurpitsaa, lehtikaalia, granaattiomenan siemeniä ja pensasmustikkaa.","18,90 €",1,1,0,0,1,1,0,0,0,0
13,"Mestarin Grillihärkä","(L, G)","Naudan ulkofileepihvi 150 g, keittiömestarin voita sekä -kastiketta, tikkuperunoita, lehtikaalia, paprikaa, kesäkurpitsaa, maissintähkä ja aiolia.","22,90 €",1,1,0,0,1,1,0,0,0,0
14,"Juustoportin Pippuripihvi","(L, G)","Naudan ulkofileepihvi, Juustoportin Brandy-pähkinäjuustoa, pekonia, maalaislohkoperunoita, uunijuureksia, vihreää parsaa ja pippurikermakastiketta.","25,90 €",1,1,0,1,1,1,0,0,0,0
15,Lehtipihvi,"(L, G)","Kotimainen naudan lehtipihvi, keittiömestarin maustevoita, tikkuperunoita, paahdettuja uunijuureksia ja vihreää parsaa.","22,90 €",1,1,0,0,1,1,0,0,0,0
16,Lihapullat,"(L, G)","Kotimaisesta naudan lihasta valmistettuja lihapullia, perunamuusia, kermakastiketta, hölskykurkkuja ja puolukkahilloa.","17,90 €",1,1,0,0,1,1,0,0,0,0
17,"Juustomestarin Possu Black & White","(L, G)","Juustoportin Brandy-pähkinäjuustolla täytetty porsaan lehtipihvi, bearnaise- sekä keittiömestarinkastiketta, tikkuperunat, uunijuureksia ja vihreää parsaa.","19,90 €",1,1,0,1,1,1,0,0,0,0
18,"Metsästäjänleipä",(L),"Levainleivästä ja porsaan ulkofilepihvistä valmistettu metsästäjänleipä. Kantarellimuhennosta, lehtikaalia, miniluumutomaattia, marinoitua punasipulia. Lisänä tikkuperunat.","17,90 €",1,1,0,0,1,1,0,0,0,0
19,"Mestarin Grillihärkä Special","(L, G)","Naudan ulkofileepihvi lisukkeilla ja keittiömestarin maustevoilla.","23,90 €",1,1,0,0,1,1,0,0,0,0
20,"Lihapullat ja muusi","(L, G)","Lihapullia, perunamuusia, kermakastiketta, tuorekurkkulohkoja ja miniluumutomaattia.","7,90 €",1,1,0,0,1,1,0,0,0,0
21,"Paistettu Lohi","(L, G)","Paistettua lohta, perunamuusia, kurkkumajoneesia, miniluumutomaattia ja tuorekurkkulohkoja.","9,90 €",1,1,0,0,0,1,1,0,0,0
22,"Lasten Lehtipihvi","(M, L, G)","Possun lehtipihvi, tikkuperunoita, tuorekurkkua, porkkanaa, maissintähkä ja dippimajoneesia.","8,90 €",1,1,0,0,1,1,0,0,0,0
23,"Lasten Kanakori","(M, L, G)","Ranskalaisia, paneroitua broileria, tuorekurkkua, porkkanaa, maissintähkä ja dippimajoneesia.","7,90 €",1,1,0,0,1,1,0,0,0,0
24,"Lasten Hampurilaisateria",(L),"Hampurilaispihvi, salaattia, cheddarjuustoa, hampurilais- ja kurkkumajoneesia, maalaisranskanperunoita ja ketsuppia.","7,90 €",1,1,0,0,1,1,0,0,0,0
25,"Lasten Pizza kahdella täytteellä","","Täytteet: Ananas, tomaatti, punasipuli, valkosipuli, sieni, leipäjuusto, chevre, aurajuusto, kinkku, kana, pekoni, tonnikala, pepperonisalami, kebab, katkarapu, kylmäsavulohi, ilmakuivattukinkku, paholaisensalsa, rukola.","7,90 €",1,1,0,0,1,1,1,0,0,0
26,"Leipäjuusto Burger ateria",(L),"Leipäjuustoa, paholaisensalsaa, salaattia, tomaattia, hampurilais- ja kurkkumajoneesia.","17,90 €",1,1,0,0,1,1,0,0,0,0
