id,name,details,description,price,gluten,milk,lactose,nuts,meat,animal,fish,seafood,soy,egg
1,"Pastoragets Kantarellsoppa","(L, G på begäran)","Krämig kantarellsoppa kryddad med Juustoportti Pappila-ost. Serveras med Malaxlimpa och kärnsmör.","15,90 €",1,1,1,0,0,1,0,0,0,0
2,"Juustoportti Krämig Laxsoppa","(L, G på begäran)","Läcker laxsoppa gjord på Juustoportti kärnsmör och grädde. Serveras med Malaxlimpa och kärnsmör.","17,90 €",0,1,1,0,0,1,1,0,0,0
3,"Husets Sallad","(L, G)","Salladen kan väljas med antingen kyckling, Halla-ost eller en vegetarisk biff. Fräsch sallad i citronvinägrett, inlagd gurka och miniplommontomater, granatäppelkärnor, blåbär, rostade frön och balsamico.","15,90 €",1,1,0,0,0,1,0,0,0,0
4,"Fiskarens Laxssallad","(M, L, G)","Fräsch sallad i citronvinägrett, stekt lax, inlagd gurka och miniplommontomater, granatäppelkärnor, blåbär, rostade frön och balsamico.","17,90 €",1,1,0,0,0,1,1,0,0,0
5,"Grönsaksgalleri","(VEG, G)","Ärt-rödbetsbiffar, lantpotatis, rostade ugnsrotfrukter och grön sparris. Grönkål, paprika, zucchini, majs, marinerad rödlök och Juustoportti kevi-fikon dipp.","18,90 €",1,1,0,0,0,0,0,0,0,0
6,"Vegoburgare med sötpotatispommes",(VEG),"Ärt-rödbetsbiffar, sallad, tomat, marinerad rödlök, djävulssylt, sötpotatispommes och Juustoportti kevi-fikon dipp.","17,90 €",0,0,1,0,0,0,0,0,0,0
7,Chili-kycklingpasta,(L),"Pennepasta i krämig chilisås, kycklingbröst, riven Grand Reserve ost, marinerad rödlök och citronolja.","17,90 €",1,1,0,0,1,1,0,0,0,0
8,"Jägarens Svamppasta med lufttorkad skinka",(L),"Pennepasta i krämig kantarellsås, lufttorkad skinka, rödlök och riven Grand Reserve ost.","17,90 €",1,1,0,0,1,1,0,0,0,0
9,"Stekt Lax med kantarellsås","(L, G)","Stekt lax, lantpotatis och ugnsrotfrukter, grön sparris, lime, dill och kantarellsås.","24,90 €",1,1,0,0,0,1,1,0,0,0
10,"Juustoportti Kärnssmörstekta Siklöjor",(L),"Rågpanerade siklöjor, potatimos, inlagd gurka och vitlöksyoghurtsås.","19,90 €",1,1,0,0,0,1,1,0,0,0
11,Getostkyckling,"(L, G)","Majspanerad kycklingbröstfilé, kockens sås, lantpotatis, ugnsrotfrukter och grön sparris, Chèvre-ost och hjortronsylt.","18,90 €",1,1,0,0,1,1,0,0,0,0
12,"Bearnaise Kyckling","(L, G)","Majspanerad kycklingbröstfilé, lime-bearnaisesås och pommes frites, paprika, zucchini, grönkål, granatäppelkärnor och blåbär.","18,90 €",1,1,0,0,1,1,0,0,0,0
13,"Mästarens Grillbiff","(L, G)","Nötytterfilébiff 150 g, kockens smör och sås, pommes frites, grönkål, paprika, zucchini, majskolv och aioli.","22,90 €",1,1,0,0,1,1,0,0,0,0
14,"Juustoportti Pepparbiff","(L, G)","Nötytterfilébiff, Juustoportti Brandy-nötkräm, bacon, lantpotatis, ugnsrotfrukter, grön sparris och peppargräddsås.","25,90 €",1,1,0,1,1,1,0,0,0,0
15,"Lövbiff","(L, G)","Inhemsk nötlövbiff, kockens kryddsmör, pommes frites, rostade ugnsrotfrukter och grön sparris.","22,90 €",1,1,0,0,1,1,0,0,0,0
16,"Köttbullar","(L, G)","Köttbullar gjorda på inhemskt nötkött, potatimos, gräddsås, inlagd gurka och lingonsylt.","17,90 €",1,1,0,0,1,1,0,0,0,0
17,"Ostmästarens Fläsk Black & White","(L, G)","Fläsklövbiff fylld med Juustoportti Brandy-nötkräm, bearnaise- och kockens sås, pommes frites, ugnsrotfrukter och grön sparris.","19,90 €",1,1,0,1,1,1,0,0,0,0
18,"Jägarens Smörgås",(L),"Jägarens smörgås gjord på Levainbröd och fläskytterfilébiff. Kantarellstuvning, grönkål, miniplommontomater, marinerad rödlök. Serveras med pommes frites.","17,90 €",1,1,0,0,1,1,0,0,0,0
19,"Mästarens Grillbiff Special","(L, G)","Nötytterfilébiff med tillbehör och kockens kryddsmör.","23,90 €",1,1,0,0,1,1,0,0,0,0
20,"Köttbullar och mos","(L, G)","Köttbullar, potatimos, gräddsås, färskgurkbitar och miniplommontomater.","7,90 €",1,1,0,0,1,1,0,0,0,0
21,"Stekt Lax","(L, G)","Stekt lax, potatimos, gurkmajonnäs, miniplommontomater och färskgurkbitar.","9,90 €",1,1,0,0,0,1,1,0,0,0
22,"Barnens Lövbiff","(M, L, G)","Fläsklövbiff, pommes frites, färskgurka, morot, majskolv och dippmajonnäs.","8,90 €",1,1,0,0,1,1,0,0,0,0
23,"Barnens Kycklingkorg","(M, L, G)","Pommes frites, panerad kyckling, färskgurka, morot, majskolv och dippmajonnäs.","7,90 €",1,1,0,0,1,1,0,0,0,0
24,"Barnens Hamburgermeny",(L),"Hamburgarbiff, sallad, cheddarost, hamburger- och gurkmajonnäs, lantpommes frites och ketchup.","7,90 €",1,1,0,0,1,1,0,0,0,0
25,"Barnens Pizza med två fyllningar","","Fyllningar: Ananas, tomat, rödlök, vitlök, svamp, brödost, chèvre, ädelost, skinka, kyckling, bacon, tonfisk, pepperonisalami, kebab, räka, kallrökt lax, lufttorkad skinka, djävulssalsa, ruccola.","7,90 €",1,1,0,0,1,1,1,0,0,0
26,"Brödost Burgermeny",(L),"Brödost, djävulssalsa, sallad, tomat, hamburger- och gurkmajonnäs.","17,90 €",1,1,0,0,1,1,0,0,0,0
27,"Husets Burgermeny",(L),"Finsk helköttsbiff av nöt, brödost, djävulssalsa, sallad, tomat, hamburger- och gurkmajonnäs.","18,90 €",1,1,0,0,1,1,0,0,0,0
28,"Premium Burgermeny",(L),"Två finska helköttsbiffar av nöt, sallad, tomat, cheddarost, bacon, marinerad rödlök, panerade lökringar samt hamburger- och gurkmajonnäs.","19,90 €",1,1,0,0,1,1,0,0,0,0
29,"BBQ Burgermeny",(L),"BBQ-sås, finsk helköttsbiff av nöt, cheddarost, sallad, tomat, marinerad rödlök samt hamburger- och gurkmajonnäs.","18,90 €",1,1,0,0,1,1,0,0,0,0
30,"Kyckling Burgermeny",(L),"Majspanerad kycklingbröstfilé, getost, sallad, tomat, marinerad rödlök, panerade lökringar samt hamburger- och gurkmajonnäs.","18,90 €",1,1,0,0,1,1,0,0,0,0
31,"Special Opera",(L),"Salami, skinka och tonfisk.","14,90 €",1,1,0,0,1,1,1,0,0,0
32,Americana,(L),"Skinka, ananas, BBQ-sås och ruccola.","14,90 €",1,1,0,0,1,1,0,0,0,0
33,"Margherita à la Juustoportti",(L),"Tomatsås, brödost, riven ost.","14,90 €",1,1,0,0,0,1,0,0,0,0
34,"Fantasiapizza med tre fyllningar","","Fyllningar: Ananas, tomat, rödlök, vitlök, svamp, brödost, chèvre, ädelost, skinka, kyckling, bacon, tonfisk, pepperonisalami, kebab, räka, jalapeño, lufttorkad skinka, djävulssalsa, ruccola.","15,90 €",1,1,0,0,1,1,1,0,0,0
35,"Kycklingfarmarens Brickpizza BBQ",(L),"Pulled kyckling, semi-torkad tomat, rödlök, ananas, ruccola och BBQ-sås.","15,90 €",1,1,0,0,1,1,0,0,0,0
36,"Ostkällarens Brickpizza",(L),"Brödost, paprikaost, ädelost, semi-torkad tomat, ruccola och hjortronsylt.","15,90 €",1,1,0,0,0,1,0,0,0,0
37,"Kejsarens Brickpizza",(L),"Lufttorkad skinka, brödost, semi-torkade tomater, marinerad rödlök och ruccola.","15,90 €",1,1,0,0,1,1,0,0,0,0
38,"Kebab Brickpizza",(L),"Kebabkött, riven ost, semi-torkade tomater, jalapeño, marinerad rödlök, kebab- och vitlökssås, ruccola.","15,90 €",1,1,0,0,1,1,0,0,0,0
39,"Kyckling Burrito",(L),"Krispigt panerad kyckling, ost- och salsasås, riven ost, fräsch sallad, miniplommontomater, jalapeño och lime-jalapeñomajonnäs. Juustoporttis Burrito kan väljas med antingen Nachochips & salsadip eller Pommes frites & Chilimajonnäsdip.","15,90 €",1,1,0,0,1,1,0,0,0,0
40,"Grönsaksbiff Burrito",(L),"Ärt-rödbetsbiff, ost- och salsasås, riven ost, fräsch sallad, miniplommontomater, jalapeño och lime-jalapeñomajonnäs. Juustoporttis Burrito kan väljas med antingen Nachochips & salsadip eller Pommes frites & Chilimajonnäsdip.","15,90 €",1,1,0,0,0,0,0,0,0,0
41,Kebab,"(L, G)","Kebabkött, lantpommes frites, fräsch sallad, miniplommontomater, rödlök, vitlöksyoghurtsås och kebabsås.","15,90 €",1,1,0,0,1,1,0,0,0,0
42,"Artisan Korvpommes","(L, G)","Atria artisan korv, chorizo, bratwurst, pommes frites, sallad, marinerad rödlök, senapsgurksallad och dijonsenapsdip.","15,90 €",1,1,0,0,1,1,0,0,0,0
43,"Juustoportti Burrito Combo",(L),"Välj kyckling- eller grönsaksbiffsfyllning. Innehåller ostsås, sallad, salsa och chilimajonnäs.","16,90 €",1,1,0,0,1,1,0,0,0,0
